backend,dim,dtype,solver,case,grid_size,tol,max_iter,repeat_runs,cycle,nu,omega,mg_coarse,coarse_steps,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms
cuda,2,double,mg,cosine,1279,1e-09,15,5,v,4,1.25,exact,,,7,3.812097e-11,4.655491e-08,9.048651e-08,10.595
cuda,2,double,mg,cosine,1279,1e-09,15,5,v,4,1.25,sor,16,,7,3.799044e-11,4.655492e-08,9.048653e-08,9.634
cuda,2,double,mg,cosine,1279,1e-09,15,5,w,4,1.25,exact,,,6,3.085163e-10,4.655491e-08,9.048653e-08,116.567
cuda,2,double,mg,cosine,1279,1e-09,15,5,w,4,1.25,sor,16,,6,3.084394e-10,4.655491e-08,9.048653e-08,38.436
cuda,2,double,mg,cosine,1535,1e-09,15,5,v,4,1.25,exact,,,7,5.433084e-11,3.232981e-08,6.283793e-08,13.84
cuda,2,double,mg,cosine,1535,1e-09,15,5,v,4,1.25,sor,16,,7,5.435857e-11,3.232982e-08,6.283795e-08,13.975
cuda,2,double,mg,cosine,1535,1e-09,15,5,w,4,1.25,exact,,,6,4.079715e-10,3.232982e-08,6.283794e-08,62.332
cuda,2,double,mg,cosine,1535,1e-09,15,5,w,4,1.25,sor,16,,6,4.080157e-10,3.232982e-08,6.283795e-08,62.292
cuda,2,double,mg,cosine,2047,1e-09,15,5,v,4,1.25,exact,,,7,9.592534e-11,1.818552e-08,3.534633e-08,23.904
cuda,2,double,mg,cosine,2047,1e-09,15,5,v,4,1.25,sor,16,,7,9.596211e-11,1.818553e-08,3.534635e-08,27.15
cuda,2,double,mg,cosine,2047,1e-09,15,5,w,4,1.25,exact,,,6,6.330216e-10,1.818553e-08,3.534634e-08,111.086
cuda,2,double,mg,cosine,2047,1e-09,15,5,w,4,1.25,sor,16,,6,6.329706e-10,1.818553e-08,3.534633e-08,80.221
cuda,2,double,mg,cosine,2047,1e-09,150,5,v,3,1.25,exact,,,7,4.872604e-10,1.818553e-08,3.534634e-08,23.535
cuda,2,double,mg,cosine,2559,1e-09,15,5,v,4,1.25,exact,,,7,1.491155e-10,1.163874e-08,2.262165e-08,56.712
cuda,2,double,mg,cosine,2559,1e-09,15,5,v,4,1.25,sor,16,,7,1.489536e-10,1.163874e-08,2.262166e-08,59.007
cuda,2,double,mg,cosine,2559,1e-09,15,5,w,4,1.25,exact,,,6,8.895962e-10,1.163874e-08,2.262167e-08,270.411
cuda,2,double,mg,cosine,2559,1e-09,15,5,w,4,1.25,sor,16,,6,8.897634e-10,1.163874e-08,2.262166e-08,113.427
cuda,2,double,mg,cosine,3071,1e-09,15,5,v,4,1.25,exact,,,7,2.135006e-10,8.082455e-09,1.570952e-08,84.23
cuda,2,double,mg,cosine,3071,1e-09,15,5,v,4,1.25,sor,16,,7,2.135942e-10,8.082456e-09,1.570951e-08,84.658
cuda,2,double,mg,cosine,3071,1e-09,15,5,w,4,1.25,exact,,,7,2.097779e-10,8.082459e-09,1.57095e-08,201.11
cuda,2,double,mg,cosine,3071,1e-09,15,5,w,4,1.25,sor,16,,7,2.097979e-10,8.082456e-09,1.57095e-08,204.175
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,1,1.25,exact,,,14,6.26045e-10,4.546383e-09,8.836635e-09,130.026
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,1,1.25,sor,16,,14,6.257716e-10,4.546383e-09,8.836598e-09,135.318
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,2,1.25,exact,,,9,4.50114e-10,4.546371e-09,8.836598e-09,131.312
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,2,1.25,sor,16,,9,4.501101e-10,4.546374e-09,8.836572e-09,125.951
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.0,exact,,,9,2.946482e-10,4.546324e-09,8.836493e-09,151.547
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.0,sor,16,,9,2.946904e-10,4.546322e-09,8.836493e-09,151.113
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.05,exact,,,8,4.103808e-10,4.545714e-09,8.835239e-09,136.03
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.05,sor,16,,8,4.107593e-10,4.545724e-09,8.835235e-09,138.716
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.1,exact,,,8,3.290797e-10,4.546381e-09,8.836628e-09,135.68
