dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,7,3.782680e-10,4.546378e-09,8.836613e-09,1.447210e+02,1.447210e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,127,6,6.976043e-12,4.654896e-06,9.044184e-06,5.451000e+00,5.451000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,159,6,1.068305e-11,2.979272e-06,5.790269e-06,1.341200e+01,1.341200e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,191,6,1.484444e-11,2.068991e-06,4.021334e-06,6.817000e+00,6.817000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,255,6,2.434230e-11,1.163837e-06,2.262062e-06,1.223700e+01,1.223700e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,319,6,3.520721e-11,7.448642e-07,1.447659e-06,2.975800e+01,2.975800e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,383,6,4.725391e-11,5.172701e-07,1.005378e-06,1.274700e+01,1.274700e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,511,6,7.465938e-11,2.909662e-07,5.655294e-07,2.563700e+01,2.563700e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,639,6,1.058418e-10,1.862189e-07,3.619446e-07,5.519400e+01,5.519400e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,767,6,1.405612e-10,1.293189e-07,2.513476e-07,2.682500e+01,2.682500e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,1023,6,2.191184e-10,7.274200e-08,1.413846e-07,4.947800e+01,4.947800e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,1279,6,3.085163e-10,4.655491e-08,9.048653e-08,1.165670e+02,1.165670e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,1535,6,4.079715e-10,3.232982e-08,6.283794e-08,6.233200e+01,6.233200e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,2047,6,6.330216e-10,1.818553e-08,3.534634e-08,1.110860e+02,1.110860e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,2559,6,8.895962e-10,1.163874e-08,2.262167e-08,2.704110e+02,2.704110e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,3071,7,2.097779e-10,8.082459e-09,1.570950e-08,2.011100e+02,2.011100e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,7,3.732269e-10,4.546385e-09,8.836612e-09,3.638130e+02,3.638130e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,127,6,6.969157e-12,4.654896e-06,9.044184e-06,3.370000e+00,3.370000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,159,6,1.068092e-11,2.979272e-06,5.790269e-06,4.315000e+00,4.315000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,191,6,1.483201e-11,2.068991e-06,4.021334e-06,6.934000e+00,6.934000e-03,1.000000e-09,15,4,true,wrapper
