dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,11,4.651730e-10,2.451142e-08,4.902283e-08,1.244190e+02,1.244190e-01,1.000000e-09,15,1,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,6,5.096938e-10,2.451147e-08,4.902429e-08,9.371300e+01,9.371300e-02,1.000000e-09,15,2,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,4,5.079855e-10,2.450536e-08,4.900689e-08,9.867200e+01,9.867200e-02,1.000000e-09,15,3,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,3,9.852368e-10,2.456858e-08,4.914017e-08,9.301400e+01,9.301400e-02,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,3,3.909863e-10,2.450903e-08,4.901806e-08,9.453700e+01,9.453700e-02,1.000000e-09,15,5,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,11,4.652966e-10,2.451148e-08,4.902296e-08,1.104430e+02,1.104430e-01,1.000000e-09,15,1,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,6,5.095537e-10,2.451146e-08,4.902424e-08,1.033110e+02,1.033110e-01,1.000000e-09,15,2,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,4,5.078831e-10,2.450536e-08,4.900691e-08,1.008420e+02,1.008420e-01,1.000000e-09,15,3,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,3,9.851861e-10,2.456864e-08,4.914026e-08,8.496000e+01,8.496000e-02,1.000000e-09,15,4,true,wrapper
2,sine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,3,3.913201e-10,2.450906e-08,4.901812e-08,9.604400e+01,9.604400e-02,1.000000e-09,15,5,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,8,7.964823e-10,2.451200e-08,4.902403e-08,2.792190e+02,2.792190e-01,1.000000e-09,15,1,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,5,4.032637e-10,2.451016e-08,4.902077e-08,2.227120e+02,2.227120e-01,1.000000e-09,15,2,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,3,7.791353e-10,2.451223e-08,4.902452e-08,1.617840e+02,1.617840e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,3,3.667381e-10,2.451013e-08,4.902076e-08,1.808920e+02,1.808920e-01,1.000000e-09,15,4,true,wrapper
2,sine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,2,7.966320e-10,2.451140e-08,4.902265e-08,1.577080e+02,1.577080e-01,1.000000e-09,15,5,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,8,7.963220e-10,2.451194e-08,4.902387e-08,1.906130e+02,1.906130e-01,1.000000e-09,15,1,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,5,4.033084e-10,2.451014e-08,4.902076e-08,1.684390e+02,1.684390e-01,1.000000e-09,15,2,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,3,7.795009e-10,2.451218e-08,4.902443e-08,1.343270e+02,1.343270e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,3,3.668060e-10,2.451011e-08,4.902074e-08,1.466480e+02,1.466480e-01,1.000000e-09,15,4,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,2,7.965677e-10,2.451137e-08,4.902263e-08,1.342740e+02,1.342740e-01,1.000000e-09,15,5,true,wrapper
