dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
3,cosine,W-exact,w_exact,w,exact,1.50,mg,cuda,double,383,9,9.742639e-10,3.237528e-07,8.840071e-07,6.094510e+02,6.094510e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.00,mg,cuda,double,383,9,6.726789e-11,3.237528e-07,8.840071e-07,5.897300e+02,5.897300e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.05,mg,cuda,double,383,8,3.594908e-10,3.237528e-07,8.840071e-07,5.488890e+02,5.488890e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.10,mg,cuda,double,383,8,7.155607e-11,3.237528e-07,8.840071e-07,5.499520e+02,5.499520e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.15,mg,cuda,double,383,7,3.946793e-10,3.237528e-07,8.840071e-07,5.019190e+02,5.019190e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.20,mg,cuda,double,383,7,4.277107e-11,3.237528e-07,8.840071e-07,5.502710e+02,5.502710e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,6,1.654466e-10,3.237528e-07,8.840071e-07,4.662080e+02,4.662080e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.30,mg,cuda,double,383,6,7.379099e-10,3.237528e-07,8.840071e-07,4.535940e+02,4.535940e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.35,mg,cuda,double,383,7,3.437542e-10,3.237528e-07,8.840071e-07,4.892290e+02,4.892290e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.40,mg,cuda,double,383,8,1.445624e-10,3.237528e-07,8.840071e-07,5.373880e+02,5.373880e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.45,mg,cuda,double,383,9,7.238530e-11,3.237528e-07,8.840071e-07,5.931520e+02,5.931520e-01,1.000000e-09,15,3,true,wrapper
3,cosine,W-SOR,w_sor,w,sor,1.50,mg,cuda,double,383,9,9.742664e-10,3.237528e-07,8.840071e-07,6.008070e+02,6.008070e-01,1.000000e-09,15,3,true,wrapper
