dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,sine,W-exact,w_exact,w,exact,1.50,mg,cuda,double,4095,6,5.545420e-10,2.451185e-08,4.902319e-08,2.912000e+02,2.912000e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.00,mg,cuda,double,4095,2,2.824996e-10,2.451136e-08,4.902273e-08,1.109500e+02,1.109500e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.05,mg,cuda,double,4095,2,3.318705e-10,2.451139e-08,4.902271e-08,1.025020e+02,1.025020e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.10,mg,cuda,double,4095,2,9.433102e-10,2.451129e-08,4.902254e-08,1.031410e+02,1.031410e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.15,mg,cuda,double,4095,3,3.433970e-10,2.451188e-08,4.902410e-08,1.353340e+02,1.353340e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.20,mg,cuda,double,4095,3,3.788189e-10,2.451158e-08,4.902315e-08,1.338750e+02,1.338750e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,3,7.795009e-10,2.451218e-08,4.902443e-08,1.343270e+02,1.343270e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.30,mg,cuda,double,4095,4,4.059393e-10,2.451174e-08,4.902359e-08,1.624450e+02,1.624450e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.35,mg,cuda,double,4095,4,4.781891e-10,2.451105e-08,4.902181e-08,1.616480e+02,1.616480e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.40,mg,cuda,double,4095,5,4.597812e-10,2.451133e-08,4.902273e-08,1.913340e+02,1.913340e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.45,mg,cuda,double,4095,5,5.804195e-10,2.451188e-08,4.902400e-08,1.911100e+02,1.911100e-01,1.000000e-09,15,3,true,wrapper
2,sine,W-SOR,w_sor,w,sor,1.50,mg,cuda,double,4095,6,5.544345e-10,2.451179e-08,4.902301e-08,2.219840e+02,2.219840e-01,1.000000e-09,15,3,true,wrapper
