dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,grid_size,cells,cpu_backend,cpu_omp_num_threads,cpu_iterations,cpu_residual_l2,cpu_error_l2,cpu_error_linf,cpu_time_ms,cpu_time_s,cpu_time_per_cell_us,cpu_throughput_cells_per_s,cpu_converged,omp_best_backend,omp_best_omp_num_threads,omp_best_iterations,omp_best_residual_l2,omp_best_error_l2,omp_best_error_linf,omp_best_time_ms,omp_best_time_s,omp_best_time_per_cell_us,omp_best_throughput_cells_per_s,omp_best_converged,cuda_backend,cuda_iterations,cuda_residual_l2,cuda_error_l2,cuda_error_linf,cuda_time_ms,cuda_time_s,cuda_time_per_cell_us,cuda_throughput_cells_per_s,cuda_converged,omp_speedup_vs_cpu,cuda_speedup_vs_cpu,cuda_speedup_vs_omp_best,tol,max_iter,repeat_runs,source
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,2047,4190209,omp,1,4,2.986698e-10,9.803965e-08,1.960754e-07,3.178770e+02,3.178770e-01,7.586185e-02,1.318186e+07,true,omp,16,4,2.986698e-10,9.803965e-08,1.960754e-07,1.355520e+02,1.355520e-01,3.234970e-02,3.091219e+07,true,cuda,4,2.974561e-10,9.803966e-08,1.960755e-07,2.001100e+01,2.001100e-02,4.775657e-03,2.093953e+08,true,2.345056e+00,1.588511e+01,6.773874e+00,1.000000e-09,150,5,derived
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,4095,16769025,omp,1,4,5.092777e-10,2.450541e-08,4.900693e-08,1.371954e+03,1.371954e+00,8.181477e-02,1.222273e+07,true,omp,8,4,5.092777e-10,2.450541e-08,4.900693e-08,7.395780e+02,7.395780e-01,4.410382e-02,2.267377e+07,true,cuda,4,5.079855e-10,2.450536e-08,4.900689e-08,1.011280e+02,1.011280e-01,6.030643e-03,1.658198e+08,true,1.855050e+00,1.356651e+01,7.313286e+00,1.000000e-09,150,5,derived
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,31,29791,omp,1,6,4.450806e-10,4.638967e-05,1.265026e-04,2.434000e+00,2.434000e-03,8.170253e-02,1.223952e+07,true,omp,8,6,4.450806e-10,4.638967e-05,1.265026e-04,1.025000e+00,1.025000e-03,3.440636e-02,2.906439e+07,true,cuda,6,4.450800e-10,4.638967e-05,1.265026e-04,3.132000e+00,3.132000e-03,1.051324e-01,9.511814e+06,true,2.374634e+00,7.771392e-01,3.272669e-01,1.000000e-09,150,5,derived
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,63,250047,omp,1,7,2.447558e-11,1.164109e-05,3.174501e-05,2.225400e+01,2.225400e-02,8.899927e-02,1.123605e+07,true,omp,6,7,2.447558e-11,1.164109e-05,3.174501e-05,7.272000e+00,7.272000e-03,2.908253e-02,3.438490e+07,true,cuda,7,2.447539e-11,1.164109e-05,3.174501e-05,4.790000e+00,4.790000e-03,1.915640e-02,5.220188e+07,true,3.060231e+00,4.645929e+00,1.518163e+00,1.000000e-09,150,5,derived
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,127,2048383,omp,1,7,3.296255e-11,2.912975e-06,7.951025e-06,2.296500e+02,2.296500e-01,1.121128e-01,8.919586e+06,true,omp,8,7,3.296255e-11,2.912975e-06,7.951025e-06,5.602700e+01,5.602700e-02,2.735182e-02,3.656064e+07,true,cuda,7,3.295882e-11,2.912975e-06,7.951025e-06,1.480400e+01,1.480400e-02,7.227164e-03,1.383669e+08,true,4.098917e+00,1.551270e+01,3.784585e+00,1.000000e-09,150,5,derived
3,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,255,16581375,omp,1,7,3.916798e-11,7.284113e-07,1.988774e-06,2.282067e+03,2.282067e+00,1.376283e-01,7.265946e+06,true,omp,6,7,3.916798e-11,7.284113e-07,1.988774e-06,1.041384e+03,1.041384e+00,6.280444e-02,1.592244e+07,true,cuda,7,3.917058e-11,7.284113e-07,1.988774e-06,1.343440e+02,1.343440e-01,8.102103e-03,1.234248e+08,true,2.191379e+00,1.698674e+01,7.751623e+00,1.000000e-09,150,5,derived
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,31,29791,omp,1,6,3.866365e-10,2.841075e-04,8.035775e-04,2.462000e+00,2.462000e-03,8.264241e-02,1.210032e+07,true,omp,6,6,3.866365e-10,2.841075e-04,8.035775e-04,1.013000e+00,1.013000e-03,3.400356e-02,2.940869e+07,true,cuda,6,3.866394e-10,2.841075e-04,8.035775e-04,2.974000e+00,2.974000e-03,9.982881e-02,1.001715e+07,true,2.430405e+00,8.278413e-01,3.406187e-01,1.000000e-09,150,5,derived
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,63,250047,omp,1,6,4.725820e-10,7.100115e-05,2.008216e-04,1.909800e+01,1.909800e-02,7.637764e-02,1.309284e+07,true,omp,6,6,4.725820e-10,7.100115e-05,2.008216e-04,6.043000e+00,6.043000e-03,2.416746e-02,4.137796e+07,true,cuda,6,4.725824e-10,7.100115e-05,2.008216e-04,4.170000e+00,4.170000e-03,1.667686e-02,5.996331e+07,true,3.160351e+00,4.579856e+00,1.449161e+00,1.000000e-09,150,5,derived
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,127,2048383,omp,1,6,4.964209e-10,1.774862e-05,5.020067e-05,2.009120e+02,2.009120e-01,9.808322e-02,1.019542e+07,true,omp,8,6,4.964209e-10,1.774862e-05,5.020067e-05,5.137400e+01,5.137400e-02,2.508027e-02,3.987198e+07,true,cuda,6,4.964220e-10,1.774862e-05,5.020067e-05,1.233300e+01,1.233300e-02,6.020847e-03,1.660896e+08,true,3.910772e+00,1.629060e+01,4.165572e+00,1.000000e-09,150,5,derived
3,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,255,16581375,omp,1,6,5.019083e-10,4.436989e-06,1.254970e-05,1.976211e+03,1.976211e+00,1.191826e-01,8.390488e+06,true,omp,12,6,5.019083e-10,4.436989e-06,1.254970e-05,9.548750e+02,9.548750e-01,5.758720e-02,1.736497e+07,true,cuda,6,5.019013e-10,4.436989e-06,1.254970e-05,1.221700e+02,1.221700e-01,7.367905e-03,1.357238e+08,true,2.069602e+00,1.617591e+01,7.815953e+00,1.000000e-09,150,5,derived
