dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,1023,1046529,7,1.645287e-10,7.274200e-08,1.413846e-07,6.256000e+00,6.256000e-03,5.977856e-03,1.672840e+08,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,8.581800e+01,8.581800e-02,8.200251e-02,1.219475e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,4.465900e+01,4.465900e-02,4.267345e-02,2.343378e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,2.556000e+01,2.556000e-02,2.442359e-02,4.094401e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,2.003700e+01,2.003700e-02,1.914615e-02,5.222982e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,2.478400e+01,2.478400e-02,2.368210e-02,4.222599e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,2.424000e+01,2.424000e-02,2.316228e-02,4.317364e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,1023,1046529,7,1.646085e-10,7.274198e-08,1.413846e-07,2.752500e+01,2.752500e-02,2.630123e-02,3.802104e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,2047,4190209,7,4.872604e-10,1.818553e-08,3.534634e-08,2.353500e+01,2.353500e-02,5.616665e-03,1.780416e+08,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,5.319890e+02,5.319890e-01,1.269600e-01,7.876496e+06,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,3.539710e+02,3.539710e-01,8.447574e-02,1.183772e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,2.750610e+02,2.750610e-01,6.564374e-02,1.523374e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,2.230900e+02,2.230900e-01,5.324078e-02,1.878259e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,2.430460e+02,2.430460e-01,5.800331e-02,1.724039e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,2.361230e+02,2.361230e-01,5.635113e-02,1.774587e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,2047,4190209,7,4.872708e-10,1.818550e-08,3.534621e-08,2.409760e+02,2.409760e-01,5.750930e-02,1.738849e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,4095,16769025,8,3.862726e-10,4.546387e-09,8.836614e-09,1.503920e+02,1.503920e-01,8.968440e-03,1.115021e+08,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,2.684443e+03,2.684443e+00,1.600834e-01,6.246743e+06,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,1.811022e+03,1.811022e+00,1.079980e-01,9.259426e+06,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,1.471032e+03,1.471032e+00,8.772317e-02,1.139950e+07,1.000000e-09,150,5,true,wrapper
